request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,
request_28,236.12,affordable_with_plan,wait,2024-08-15:1302.4,2024-08-15,none,
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,
request_31,1272416.37,affordable_with_plan,wait,2024-09-15:18164000,2024-09-15,none,
request_32,15840.51,affordable_later,wait,2025-05-06:40018,2025-05-06,none,
request_33,20524.52,affordable_later,wait,2026-04-07:118000,2026-04-07,none,
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,
request_35,27132.72,affordable_with_plan,wait,2026-01-15:212000,2026-01-15,none,
request_36,595.07,affordable_later,wait,2026-10-01:3954,2026-10-01,none,
request_37,1504185.48,affordable_later,wait,2024-06-03:14649000,2024-06-03,none,
request_38,158.88,affordable_with_plan,wait,2025-10-15:971.3,2025-10-15,none,
request_39,46893.88,affordable_with_plan,wait,2026-04-15:208600,2026-04-15,none,
request_40,405.71,affordable_with_plan,wait,2024-08-15:1290.3,2024-08-15,none,
request_41,3607067.47,affordable_with_plan,wait,2025-11-15:38760000,2025-11-15,none,
request_42,52100.0,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,
request_43,5151028.41,affordable_later,wait,2024-12-06:43339000,2024-12-06,none,
request_44,0.0,not_affordable,not_recommended,none,,none,
request_45,4368293.57,affordable_later,wait,2026-10-04:21983000,2026-10-04,none,
request_46,39629.31,affordable_with_plan,partial_payment,2024-12-03:39629.31|2024-12-15:9820.69,2024-12-15,none,
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,
request_49,3847705.25,not_affordable,not_recommended,none,,none,
request_50,43900.0,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,
request_52,20397.8,affordable_with_plan,wait,2024-06-15:28870,2024-06-15,none,
request_53,455.06,affordable_with_plan,installments,2025-11-07:124.61|2025-12-07:124.61|2026-01-06:124.61|2026-02-05:124.61|2026-03-07:124.61|2026-04-06:124.61|2026-05-06:124.61|2026-06-05:124.61|2026-07-05:124.61|2026-08-04:124.61|2026-09-03:124.61|2026-10-03:124.61|2026-11-02:124.61|2026-12-02:124.61|2027-01-01:124.61,2026-01-15,none,
request_54,865.18,not_affordable,not_recommended,none,,none,
request_55,108572.56,not_affordable,not_recommended,none,,none,
request_56,370.82,affordable_with_plan,partial_payment,2025-02-03:370.82|2025-02-15:510.74,2025-02-15,none,
request_57,7367.12,affordable_later,wait,2026-07-04:61446,2026-07-04,none,
request_58,16226000.0,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,
request_60,0.0,not_affordable,not_recommended,none,,none,
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,
request_63,23132.82,not_affordable,not_recommended,none,,none,
request_64,35430.79,not_affordable,not_recommended,none,,none,
request_65,4272.55,not_affordable,not_recommended,none,,none,
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,
request_67,257.8,affordable_with_plan,wait,2024-09-15:2094,2024-09-15,none,
request_68,1354.01,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-15,none,
request_69,394.08,affordable_later,wait,2026-03-15:529.1,2026-03-15,none,
request_70,42367.06,affordable_with_plan,wait,2025-02-15:243900,2025-02-15,none,
request_71,0.0,not_affordable,not_recommended,none,,none,
request_72,10835.7,affordable_later,wait,2026-07-15:11330,2026-07-15,none,
request_73,65520.32,affordable_later,wait,2023-02-15:71400,2023-02-15,none,
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,
request_76,654.25,not_affordable,not_recommended,none,,none,
request_77,45011.06,affordable_later,wait,2025-12-15:60700,2025-12-15,none,
request_78,36200.1,affordable_later,wait,2025-12-15:50200,2025-12-15,none,
request_79,307.2,not_affordable,not_recommended,none,,none,
request_80,93321.16,not_affordable,not_recommended,none,,none,
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,
request_82,325.39,affordable_with_plan,wait,2025-02-15:1405.2,2025-02-15,none,
request_83,0.0,not_affordable,not_recommended,none,,none,
request_84,15399.79,affordable_later,wait,2026-07-03:95400,2026-07-03,none,
request_85,0.0,not_affordable,not_recommended,none,,none,
request_86,44864.479999999996,affordable_with_plan,wait,2025-08-15:46300,2025-08-15,none,
request_87,0.0,not_affordable,not_recommended,none,,none,
request_88,9731.73,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,
request_89,8250123.45,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,
request_91,188.29,affordable_with_plan,wait,2024-11-15:1927.2,2024-11-15,none,
request_92,30958.76,affordable_later,wait,2025-02-15:34034,2025-02-15,none,
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,
request_95,37393.6,not_affordable,not_recommended,none,,none,
request_96,75809.49,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,
request_97,143.37,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,
request_98,7113.42,affordable_later,wait,2025-11-05:27148,2025-11-05,none,
request_99,16222.5,affordable_later,wait,2026-07-15:18062,2026-07-15,none,
request_100,21357.84,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,
request_101,129873.84,affordable_later,wait,2025-11-15:143500,2025-11-15,none,
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,
request_103,16614.02,affordable_later,wait,2024-12-06:368300,2024-12-06,none,
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,
request_105,23262.16,affordable_later,wait,2026-07-15:53500,2026-07-15,none,
request_106,302.34,affordable_with_plan,wait,2025-02-15:2207.7,2025-02-15,none,
request_107,0.0,not_affordable,not_recommended,none,,none,
request_108,2028.92,affordable_later,wait,2026-10-05:55308,2026-10-05,none,
request_109,447.2,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,
request_113,20726.18,affordable_with_plan,wait,2026-10-15:36500,2026-10-15,none,
request_114,0.0,not_affordable,not_recommended,none,,none,
request_115,10901.49,affordable_with_plan,wait,2024-11-15:80500,2024-11-15,none,
request_116,9638.98,affordable_with_plan,installments,2025-02-17:17688|2025-03-19:17688|2025-04-18:17688|2025-05-18:17688|2025-06-17:17688|2025-07-17:17688|2025-08-16:17688|2025-09-15:17688|2025-10-15:17688|2025-11-14:17688|2025-12-14:17688|2026-01-13:17688|2026-02-12:17688|2026-03-14:17688|2026-04-13:17688,2025-05-04,none,
request_117,848.46,affordable_later,wait,2026-07-15:880,2026-07-15,none,
request_118,432.78,not_affordable,not_recommended,none,,none,
request_119,45671.49,not_affordable,not_recommended,none,,none,
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,
request_121,580.16,affordable_later,wait,2024-03-15:633.6,2024-03-15,none,
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,
request_124,1409.52,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,
request_125,5276.31,affordable_later,wait,2025-11-15:6468,2025-11-15,none,
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,
request_127,0.0,not_affordable,not_recommended,none,,none,
request_128,22633.78,affordable_later,wait,2025-02-15:25168,2025-02-15,none,
request_129,38.59,not_affordable,not_recommended,none,,none,
request_130,300.0,affordable_later,wait,2025-03-06:1978.8,2025-03-06,none,
request_131,1226.6,not_affordable,not_recommended,none,,none,
request_132,0.0,not_affordable,not_recommended,none,,none,
request_133,15770000.0,not_affordable,not_recommended,none,,none,
request_134,5873402.23,affordable_with_plan,wait,2025-08-15:21831000,2025-08-15,none,
request_135,164.27,affordable_later,wait,2026-09-15:304.8,2026-09-15,none,
